id,time,latitude,longitude,wifi,addr
52,28MAR2013:16:36:57,43.70711790,-72.28893970,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:16:56:57,43.70719480,-72.28896460,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:17:16:57,43.70714100,-72.28890850,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:17:36:57,43.70306890,-72.29065540,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:17:56:57,43.70309410,-72.29052210,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:18:16:57,43.70304920,-72.29057910,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:18:36:57,43.70715300,-72.28893420,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:18:56:57,43.70714990,-72.28888410,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:19:16:57,43.70715190,-72.28889040,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:19:36:57,43.70718660,-72.28885540,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:19:56:57,43.70722290,-72.28890500,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:20:16:57,43.70715130,-72.28887710,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:20:36:57,43.70711670,-72.28893970,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:20:56:57,43.70711930,-72.28893920,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:21:16:57,43.70718530,-72.28886300,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:21:36:57,43.70718230,-72.28878820,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:21:56:57,43.70718470,-72.28886910,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:00:15:48,43.70711930,-72.28883240,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:00:35:48,43.70712260,-72.28890390,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:00:55:46,43.70713970,-72.28889990,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:01:15:32,43.70723448,-72.28892848,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:01:35:35,43.70718400,-72.28892235,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:01:55:32,43.70723778,-72.28891712,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:02:15:34,43.70710558,-72.28896093,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:02:35:46,43.70712820,-72.28888750,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:02:55:46,43.70714720,-72.28885940,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:03:15:33,43.70717253,-72.28895730,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:03:35:32,43.70723070,-72.28911620,,Chinese Language House; 36; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:03:55:44,43.70717470,-72.28893440,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:04:14:02,43.70728192,-72.28893422,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:04:35:34,43.70728247,-72.28895460,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:04:55:46,43.70714500,-72.28887800,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:05:15:33,43.70712630,-72.28895840,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:05:35:46,43.70714500,-72.28887000,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:05:55:34,43.70717555,-72.28895457,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:06:15:46,43.70720760,-72.28876460,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:06:35:47,43.70715020,-72.28888250,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:06:55:33,43.70725590,-72.28888720,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:07:15:46,43.70716090,-72.28885950,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,29MAR2013:07:35:46,43.70715940,-72.28887970,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
