id,time,latitude,longitude,wifi,addr
16,29MAR2013:05:08:43,43.70369970,-72.29034900,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:05:28:43,43.70365880,-72.29034370,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:05:48:43,43.70366260,-72.29026290,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:06:08:43,43.70371230,-72.29041640,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:06:28:43,43.70368140,-72.29034810,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:06:48:43,43.70365550,-72.29026210,,McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:07:08:43,43.70366820,-72.29034650,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:07:28:43,43.70367250,-72.29030420,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:07:48:43,43.70368410,-72.29034150,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:08:08:43,43.70370280,-72.29037960,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:08:28:43,43.70365240,-72.29027070,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:08:48:43,43.70367040,-72.29031270,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:09:08:43,43.70290290,-72.29001050,near[hopkins; robinson; thornton; ],Collis Student Center; 2; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:09:28:43,43.70367070,-72.29026510,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:09:48:44,43.70797450,-72.28476860,,Former Dana Biomedical Library; 64; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:10:08:43,43.70876640,-72.28399960,in[lsb],Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:10:28:47,43.70866970,-72.28374030,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:10:48:43,43.70870810,-72.28379130,in[lsb],Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:11:08:43,43.70879800,-72.28420820,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
